"Symbol","Name","Sector"
"ATVI","Activision Blizzard","Communication","Equity"
"ADBE","Adobe Inc","Information Technology","Equity"
"AMD","Advanced Micro Devices","Information Technology","Equity"
"ALXN","Alexion Pharmaceuticals Inc","Health Care","Equity"
"ALGN","Align Technologies Inc","Health Care","Equity"
"GOOG","Alphabet Inc Class C","Information Technology","Equity"
"GOOGL","Alphabet Inc Class A","Information Technology","Equity"
"AMZN","Amazon.com Inc","Consumer Discretionary","Equity"
"ADI","Analog Devices Inc","Information Technology","Equity"
"ANSS","Ansys Inc","Information Technology","Equity"
"AAPL","Apple Inc","Information Technology","Equity"
"AMAT","Applied Materials Inc","Information Technology","Equity"
"ASML","ASML Holdings","Industrials","Equity"
"ADSK","Autodesck Inc","Information Technology","Equity"
"ADP","Automatic Data Processing Inc","Information Technology","Equity"
"BIDU","Baidu Inc","Information Technology","Equity"
"BIIB","Biogen Inc","Health Care","Equity"
"BMRN","BioMarin Pharmaceuticals Inc","Health Care","Equity"
"BKNG","Booking Holdings Inc","Consumer Discretionary","Equity"
"AVGO","Broadcom Inc","Information Technology","Equity"
"CDNS","Cadence Design Systems Inc","Information Technology","Equity"
"CDW","CDW Corporation","Information Technology","Equity"
"CERN","Cerner Corporation","Information Technology","Equity"
"CHTR","Charter Communications","Communication","Equity"
"CHKP","Check Point Software Technologies Inc","Information Technology","Equity"
"CTAS","Cintas Corporation","Industrials","Equity"
"CSCO","Cisco Systems Inc","Information Technology","Equity"
"CTXS","Citrix Systems Inc","Information Technology","Equity"
"CTSH","Cognizant Technology Solutions","Information Technology","Equity"
"CMCSA","Comcast Corporation","Communication","Equity"
"CPRT","Copart Inc","Consumer Discretionary","Equity"
"COST","Costco Wholesale Corp","Consumer Staples","Equity"
"CSX","CSX Corporation","Industrials","Equity"
"DXCM","DexCom Inc","Information Technology","Equity"
"DOCU","DocuSign Inc","Information Technology","Equity"
"DLTR","Dollar Tree Inc","Consumer Discretionary","Equity"
"EBAY","eBay Inc","Consumer Discretionary","Equity"
"EA","Electronic Arts Inc","Communication","Equity"
"EXC","Exelon Corporation","Utilities","Equity"
"EXPE","Expedia Group Inc","Consumer Discretionary","Equity"
"FB","Facebook Inc","Information Technology","Equity"
"FAST","Fastenal Company","Industrials","Equity"
"FISV","Fiserv Inc","Financials","Equity"
"FOX","Fox Corporation Class B","Communication","Equity"
"FOXA","Fox Corporation Class A","Communication","Equity"
"GILD","Gilead Sciences Inc","Health Care","Equity"
"IDXX","IDEXX Laboratories Inc","Health Care","Equity"
"ILMN","Illumina Inc","Health Care","Equity"
"INCY","Incyte Corp","Health Care","Equity"
"INTC","Intel Corp","Information Technology","Equity"
"INTU","Intuit Inc","Information Technology","Equity"
"ISRG","Intuitive Surgical Inc","Health Care","Equity"
"JD","JD.com Inc","Consumer Discretionary","Equity"
"KLAC","KLA Corporation","Information Technology","Equity"
"LRCX","Lam Research Corporation","Information Technology","Equity"
"LBTYA","Liberty Global Class A","Communication","Equity"
"LBTYK","Liberty Global Class C","Communication","Equity"
"LULU","Lululemon Athletica Inc","Consumer Discretionary","Equity"
"MAR","Marriott International","Consumer Discretionary","Equity"
"MXIM","Maxim Integrated Products","Industrials","Equity"
"MELI","MercadoLibre Inc","Industrials","Equity"
"MCHP","Microchip Technology Inc","Information Technology","Equity"
"MU","Micron Technology Inc","Information Technology","Equity"
"MSFT","Microsoft Corporation","Information Technology","Equity"
"MRNA","Moderna Inc","Health Care","Equity"
"MDLZ","Mondelez International Inc","Consumer Staples","Equity"
"MNST","Monster Beverage Corp","Consumer Discretionary","Equity"
"NTAP","NetApp Inc","Information Technology","Equity"
"NTES","NetEase Inc","Information Technology","Equity"
"NFLX","Netflix Inc","Communication","Equity"
"NVDA","NVIDIA Corp","Information Technology","Equity"
"NXPI","NXP Semiconductors NV","Information Technology","Equity"
"ORLY","O'Reilly Automotive Inc","Consumer Discretionary","Equity"
"PCAR","PACCAR Inc","Consumer Discretionary","Equity"
"PAYX","Paychex Inc","Financials","Equity"
"PYPL","PayPal Holdings Inc","Financials","Equity"
"PEP","PepsiCo Inc","Consumer Staples","Equity"
"QCOM","Qualcomm Inc","Information Technology","Equity"
"REGN","Regeneron Pharmaceuticals Inc","Health Care","Equity"
"ROST","Ross Stores Inc","Consumer Discretionary","Equity"
"SIRI","Sirius XM Holdings","Communication","Equity"
"SWKS","Skyworks Solutions Inc","Information Technology","Equity"
"SPLK","Splunk Inc","Information Technology","Equity"
"SBUX","Starbucks Corp","Consumer Discretionary","Equity"
"SNPS","Synopsys Inc","Information Technology","Equity"
"TMUS","T-Mobile US Inc","Communication","Equity"
"TTWO","Take-Tow Interactive Software Inc","Information Technology","Equity"
"TSLA","Tesla Inc","Consumer Discretionary","Equity"
"TXN","Texas Instruments","Information Technology","Equity"
"KHC","The Kraft Heinz Company","Consumer Staples","Equity"
"TCOM","Trip.com Group","Consumer Discretionary","Equity"
"ULTA","Ulta Beauty Inc","Consumer Discretionary","Equity"
"VRSN","VeriSign Inc","Information Technology","Equity"
"VRSK","Verisk Analytics Inc","Information Technology","Equity"
"VRTX","Vertex Pharmaceuticals Inc","Health Care","Equity"
"WBA","Walgreens Boots Alliance Inc","Consumer Discretionary","Equity"
"WDC","Western Digital Corporation","Information Technology","Equity"
"WDAY","Workday Inc","Information Technology","Equity"
"XEL","Xcel Energy Inc","Utilities","Equity"
"XLNX","Xilinx Inc","Information Technology","Equity"
"ZM","Zoom Video Communications","Information Technology","Equity"
